         37492 function calls (37385 primitive calls) in 0.301 seconds
   Ordered by: internal time
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.043    0.043    0.295    0.295 main.py:321(main)
     1584    0.037    0.000    0.078    0.000 main.py:191(draw_line)
    17401    0.032    0.000    0.032    0.000 main.py:164(draw_thick_point)
       11    0.015    0.001    0.037    0.003 <frozen importlib._bootstrap>:1240(_find_spec)
        5    0.014    0.003    0.028    0.006 _compiler.py:573(_code)
       88    0.013    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        6    0.013    0.002    0.014    0.002 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       41    0.012    0.000    0.013    0.000 _parser.py:164(__len__)
       11    0.012    0.001    0.013    0.001 <frozen importlib._bootstrap>:733(_init_module_attrs)
       10    0.012    0.001    0.012    0.001 enum.py:726(__call__)
        6    0.012    0.002    0.012    0.002 <frozen importlib._bootstrap_external>:1202(path_stats)
     3494    0.009    0.000    0.009    0.000 :0(append)
       18    0.007    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.006    0.006    0.006    0.006 :0(setprofile)
      132    0.006    0.000    0.007    0.000 main.py:84(rotation_matrix)
      132    0.005    0.000    0.083    0.001 main.py:132(render_cube)
      132    0.005    0.000    0.008    0.000 main.py:110(project_3d_to_2d)
3536/3517    0.003    0.000    0.016    0.000 :0(len)
        2    0.003    0.002    0.003    0.002 :0(create_dynamic)
     1105    0.003    0.000    0.003    0.000 :0(write)
        6    0.003    0.001    0.003    0.001 :0(open_code)
     3168    0.003    0.000    0.003    0.000 :0(abs)
      661    0.002    0.000    0.002    0.000 :0(array)
        6    0.002    0.000    0.007    0.001 locale.py:381(normalize)
     1646    0.002    0.000    0.002    0.000 :0(max)
       92    0.001    0.000    0.001    0.000 :0(flush)
       45    0.001    0.000    0.001    0.000 :0(sleep)
        6    0.001    0.000    0.001    0.000 :0(loads)
        1    0.001    0.001    0.055    0.055 shutil.py:1(<module>)
     24/6    0.001    0.000    0.074    0.012 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       11    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
        7    0.001    0.000    0.001    0.000 :0(split)
       52    0.001    0.000    0.001    0.000 :0(rpartition)
       56    0.001    0.000    0.001    0.000 :0(replace)
       11    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     10/6    0.001    0.000    0.002    0.000 _parser.py:512(_parse)
      218    0.001    0.000    0.001    0.000 :0(min)
      107    0.001    0.000    0.001    0.000 :0(join)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       44    0.000    0.000    0.001    0.000 main.py:299(calculate_cubes_count)
       44    0.000    0.000    0.001    0.000 main.py:267(position_cursor_at_top)
        1    0.000    0.000    0.017    0.017 locale.py:1(<module>)
     18/5    0.000    0.000    0.013    0.003 _compiler.py:37(_compile)
       56    0.000    0.000    0.000    0.000 :0(stat)
      280    0.000    0.000    0.000    0.000 :0(isinstance)
       24    0.000    0.000    0.001    0.000 <frozen posixpath>:71(join)
       47    0.000    0.000    0.000    0.000 :0(get_terminal_size)
       44    0.000    0.000    0.000    0.000 main.py:281(get_terminal_size)
      2/1    0.000    0.000    0.295    0.295 <string>:1(<module>)
      103    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        3    0.000    0.000    0.000    0.000 :0(exec_builtin)
      188    0.000    0.000    0.000    0.000 :0(rstrip)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      132    0.000    0.000    0.000    0.000 multiarray.py:761(dot)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       30    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       65    0.000    0.000    0.000    0.000 _parser.py:261(get)
        3    0.000    0.000    0.034    0.011 gettext.py:479(find)
     11/3    0.000    0.000    0.107    0.036 <frozen importlib._bootstrap>:1349(_find_and_load)
      9/5    0.000    0.000    0.002    0.000 _parser.py:452(_parse_sub)
       11    0.000    0.000    0.000    0.000 :0(__build_class__)
       97    0.000    0.000    0.000    0.000 _parser.py:240(__next)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     21/8    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.000    0.000 :0(sorted)
       11    0.000    0.000    0.042    0.004 __init__.py:280(_compile)
        6    0.000    0.000    0.000    0.000 :0(read)
     11/3    0.000    0.000    0.087    0.029 <frozen importlib._bootstrap>:911(_load_unlocked)
       87    0.000    0.000    0.000    0.000 :0(setdefault)
        8    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap_external>:1491(_get_spec)
       84    0.000    0.000    0.000    0.000 :0(startswith)
        6    0.000    0.000    0.030    0.005 <frozen importlib._bootstrap_external>:1062(get_code)
       79    0.000    0.000    0.000    0.000 :0(getattr)
       82    0.000    0.000    0.000    0.000 :0(endswith)
       46    0.000    0.000    0.000    0.000 :0(time)
       77    0.000    0.000    0.000    0.000 :0(get)
      7/1    0.000    0.000    0.295    0.295 :0(exec)
        5    0.000    0.000    0.001    0.000 _compiler.py:511(_compile_info)
       15    0.000    0.000    0.000    0.000 :0(__new__)
      6/5    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       37    0.000    0.000    0.000    0.000 argparse.py:1429(register)
        6    0.000    0.000    0.032    0.005 gettext.py:224(_expand_lang)
       62    0.000    0.000    0.000    0.000 _parser.py:256(match)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        3    0.000    0.000    0.026    0.009 argparse.py:1376(__init__)
        1    0.000    0.000    0.000    0.000 :0(eval)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       10    0.000    0.000    0.012    0.001 enum.py:1562(__and__)
        6    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       11    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
       60    0.000    0.000    0.000    0.000 :0(acquire_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
        3    0.000    0.000    0.071    0.024 argparse.py:1458(add_argument)
        3    0.000    0.000    0.005    0.002 __init__.py:43(normalize_encoding)
       60    0.000    0.000    0.000    0.000 :0(release_lock)
     11/3    0.000    0.000    0.105    0.035 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       24    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       28    0.000    0.000    0.000    0.000 _parser.py:176(append)
       18    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
       18    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
        5    0.000    0.000    0.030    0.006 _compiler.py:740(compile)
       25    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       28    0.000    0.000    0.000    0.000 :0(__exit__)
        8    0.000    0.000    0.012    0.002 _compiler.py:398(_simple)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       23    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
       38    0.000    0.000    0.000    0.000 :0(hasattr)
       32    0.000    0.000    0.000    0.000 :0(find)
       45    0.000    0.000    0.000    0.000 :0(fspath)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        5    0.000    0.000    0.002    0.000 _parser.py:969(parse)
        2    0.000    0.000    0.000    0.000 :0(exec_dynamic)
        6    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
        3    0.000    0.000    0.071    0.024 argparse.py:173(__init__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       33    0.000    0.000    0.000    0.000 :0(pop)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       10    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       34    0.000    0.000    0.000    0.000 :0(ord)
        3    0.000    0.000    0.000    0.000 :0(create_builtin)
        2    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      6/2    0.000    0.000    0.075    0.037 <frozen importlib._bootstrap_external>:989(exec_module)
        3    0.000    0.000    0.000    0.000 argparse.py:1599(_get_optional_kwargs)
        1    0.000    0.000    0.144    0.144 argparse.py:1776(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        1    0.000    0.000    0.000    0.000 argparse.py:1952(_parse_known_args)
       16    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        6    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        3    0.000    0.000    0.005    0.002 locale.py:347(_replace_encoding)
        3    0.000    0.000    0.000    0.000 shutil.py:1461(get_terminal_size)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        8    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap_external>:1520(find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       22    0.000    0.000    0.000    0.000 :0(get_ident)
        4    0.000    0.000    0.000    0.000 :0(_abc_init)
        1    0.000    0.000    0.301    0.301 profile:0(main())
       10    0.000    0.000    0.042    0.004 __init__.py:226(compile)
       18    0.000    0.000    0.000    0.000 :0(encode)
        2    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       19    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 argparse.py:1914(parse_known_args)
       18    0.000    0.000    0.000    0.000 :0(from_bytes)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       10    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        2    0.000    0.000    0.000    0.000 argparse.py:1686(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
